id,highlight,beneficiarystate,schemeshorttitle,level,schemefor,nodalministryname,schemecategory,schemename,schemeclosedate,priority,slug,briefdescription,tags,upload_date
k8bCF5gB0AGc0F0iCTZ2,{},['Haryana'],PMMSYMSOFRU,State,Individual,,"['Agriculture,Rural & Environment']",Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana,,0.0,msofru,"Under this scheme, financial assistance in the form of a subsidy is provided to eligible beneficiaries for setting up infrastructure such as sheds, breeding units, and rearing and culture tanks for ornamental fish. ","['Fish Production', 'Fish', 'Fish Farmer', 'Subsidy', 'Ornamental Aquaculture', 'Fish Rearing Unit', 'Fresh Water']",2025-11-26T22:18:29.576638
RxezF5gB5uF80_MGII8A,{},['All'],PM-KISAN,Central,Family,Ministry Of Agriculture and Farmers Welfare,"['Agriculture,Rural & Environment', 'Social welfare & Empowerment']",Pradhan Mantri Kisan Samman Nidhi,,0.0,pm-kisan,"Farmer welfare scheme by Ministry of Agriculture and Farmers Welfare to provide income support to all landholding farmers' families in the country to supplement their financial needs for procuring various inputs related to agriculture and allied activities as well as domestic needs.
","['Farmers', 'Income Support', 'Agricultural Inputs', 'Kisan', 'Agriculture']",2025-11-26T22:18:29.576638
_8a0F5gB0AGc0F0iGDMR,{},['All'],PMAGY,Central,Infra,Ministry Of Social Justice and Empowerment,"['Agriculture,Rural & Environment']",Pradhan Mantri Adarsh Gram Yojana,,0.0,pmagy,"With a view to enabling an area-based development approach, a new scheme Pradhan Mantri Adarsh Gram Yojana (PMAGY) was launched during 2009-10. The Scheme aims at the integrated development of Scheduled Castes majority villages.","['Rural Development', 'Social Justice', 'SC-majority Villages', 'Village Profiling', 'Gap-filling Fund']",2025-11-26T22:18:29.576638
iKHCF5gBXu-iUKXqCXei,{},['Haryana'],PMMSYTWIBIFV,State,Individual,,"['Agriculture,Rural & Environment']",Pradhan Mantri Matsya Sampada Yojana: Three Wheeler with Ice Box Including E-rickshaws for Fish Vending - Haryana,,0.0,twibierfv,"The scheme aims to promote hygienic and efficient fish transportation and retailing through mobile outlets. Under this scheme, financial assistance is provided to eligible beneficiaries for purchasing e-rickshaws equipped with ice boxes for selling fish directly.","['Subsidy', 'Fish', 'Fishries', 'Three Wheeler', 'Ice Box']",2025-11-26T22:18:29.576638
Dca1F5gB0AGc0F0iJDR0,{},['All'],PMKSY:PDMC,Central,Individual,Ministry Of Agriculture and Farmers Welfare,"['Agriculture,Rural & Environment']",Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop,,0.0,pmksypdmc,"The scheme “Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop” was launched by the Dept. of Agriculture & Farmers Welfare, Ministry of Agriculture & Farmers Welfare, Govt. of India on 1st July 2015. The scheme mainly focuses on water use efficiency at farm level through Micro Irrigation.","['Agriculture', 'Crop', 'Farmer', 'Irrigation', 'Water Harvesting', 'Water Management']",2025-11-26T22:18:29.576638
ZqHBF5gBXu-iUKXq_3ee,{},['Haryana'],PMMSYRVHR,State,,,"['Agriculture,Rural & Environment', 'Business & Entrepreneurship']",Pradhan Mantri Matsya Sampada Yojana: Refrigerated Vehicles – Haryana,,0.0,sfrv,"The scheme aims to enhance cold chain infrastructure & ensure hygienic and efficient fish transportation. Under this scheme, financial assistance is provided to fishers for purchasing refrigerated vehicles to maintain the freshness & quality of fish during post-harvest handling & transportation.","['Financial Assistance', 'Refrigerated Vehicle', 'Fishermen', 'Fish', 'Fish Transport']",2025-11-26T22:18:29.576638
lsbCF5gB0AGc0F0iCTbZ,{},['All'],PMMKSSY-1B,Central,Individual,"Ministry of Fisheries,Animal Husbandry and Dairying","['Agriculture,Rural & Environment', 'Banking,Financial Services and Insurance']",Pradhan Mantri Matsya Kisan Samridhi Sah-yojana (PM-MKSSY): COMPONENT 1B: One-Time Incentive for the Adoption of Aquaculture Insurance,,0.0,pmmkssy-1b,The Component 1B of PM-MKSSY provides a one-time incentive to eligible applicants who have availed institutional credit for fisheries-related activities. The objective is to encourage formal credit adoption and support the repayment capacity of fisheries microenterprises.,"['Incentive', 'Aquaculture', 'Insurance', 'Fisheries', 'Credit']",2025-11-26T22:18:29.576638
aaHCF5gBXu-iUKXqAHdl,{},['Haryana'],PMMSY-EBMRASUHR,State,Individual,,"['Agriculture,Rural & Environment']",Pradhan Mantri Matsya Sampada Yojana: Establishment of Backyard mini RAS Units - Haryana,,0.0,ebmrasuhr,"Under this scheme, financial assistance in the form of subsidies is provided to eligible beneficiaries for establishing these units. Various surface and groundwater sources such as canals, rivers, springs, open wells, and tube wells can be utilized for operating RAS units.","['Fisheries', 'Subsidy', 'Backyards', 'Water Source', 'Fish Farmer', 'Fish']",2025-11-26T22:18:29.576638
LRezF5gB5uF80_MGGY9Z,{},['All'],OTSDFPC,Central,Family,Ministry Of Home Affairs,"['Agriculture,Rural & Environment', 'Banking,Financial Services and Insurance', 'Business & Entrepreneurship', 'Housing & Shelter', 'Skills & Employment', 'Social welfare & Empowerment']",Central Assistance For One Time Settlement Of Displaced Families From PoK And Chhamb Under Prime Minister's Development Package,,0.0,otsdfpc,"A relief and rehabilitation scheme by the Ministry of Home Affairs provides central assistance to the displaced families from PoK And Chhamb and settled in the state of Jammu & Kashmir. The amount of Central Assistance of Rs. 5,49,692/- per family will be distributed through Direct Benefit Transfer.","['Rehabilitation', 'Displaced', 'Business', 'Farming', 'Jammu', 'Kashmir', 'Family']",2025-11-26T22:18:29.576638
KxezF5gB5uF80_MGGY8t,{},['All'],PMGSY,Central,Infra,Ministry Of Rural Development,"['Agriculture,Rural & Environment', 'Transport & Infrastructure']",Pradhan Mantri Gram Sadak Yojana,,0.0,pmgsy,"With the objective of providing rural connectivity, the Government of India launched the Pradhan Mantri Gram Sadak Yojana (referred to as PMGSY-I hereinafter) on 25th December 2000 to provide all-weather access to eligible unconnected habitations.","['Road', 'Rural']",2025-11-26T22:18:29.576638
