filter_type,filter_value
state,All
state,Andhra Pradesh
state,Arunachal Pradesh
state,Assam
state,Bihar
state,Chhattisgarh
state,Goa
state,Gujarat
state,Haryana
state,Himachal Pradesh
state,Jammu and Kashmir
state,Jharkhand
state,Karnataka
state,Kerala
state,Madhya Pradesh
state,Maharashtra
state,Manipur
state,Meghalaya
state,Mizoram
state,Nagaland
state,Odisha
state,Puducherry
state,Rajasthan
state,Sikkim
state,Tamil Nadu
state,Telangana
state,Tripura
state,Uttar Pradesh
state,Uttarakhand
state,West Bengal
category,"Agriculture,Rural & Environment"
category,"Banking,Financial Services and Insurance"
category,Business & Entrepreneurship
category,Education & Learning
category,Health & Wellness
category,Housing & Shelter
category,Skills & Employment
category,Social welfare & Empowerment
category,Transport & Infrastructure
category,Utility & Sanitation
category,Women and Child
level,Central
level,State
ministry,Ministry Of Agriculture and Farmers Welfare
ministry,Ministry Of Chemicals And Fertilizers
ministry,Ministry Of Commerce And Industry
ministry,"Ministry Of Environment,forests and climate change"
ministry,Ministry Of Home Affairs
ministry,Ministry Of Jal Shakti
ministry,Ministry Of Panchayati Raj
ministry,Ministry Of Rural Development
ministry,Ministry Of Social Justice and Empowerment
ministry,"Ministry of Fisheries,Animal Husbandry and Dairying"
tag,20 Tonne
tag,APEDA
tag,APMC
tag,Accident
tag,Accidental Assistance
tag,Accidental Insurance
tag,Adivasi
tag,Adivasi Farmers
tag,Affordable Feed
tag,Afforestation
tag,Agricultural
tag,Agricultural Activities
tag,Agricultural Equipment Subsidy
tag,Agricultural Exhibition
tag,Agricultural Fair
tag,Agricultural Infrastructure
tag,Agricultural Inputs
tag,Agricultural Land
tag,Agricultural Machinery
tag,Agricultural Malls
tag,Agricultural Market
tag,Agricultural Market Access
tag,Agricultural Marketing
tag,Agricultural Mechinery
tag,Agriculture
tag,Agriculture Activities
tag,Agriculture And Rural Development Bank
tag,Agriculture Department
tag,Agriculture Land Holder
tag,Agriculture Machineries
tag,Agriculture Management System
tag,Agriculture Marketing
tag,Agriculture Subsidy
tag,Agriculture Technology
tag,Agro Ecology
tag,Agro Processing
tag,Agro Service Providers
tag,Alkaline
tag,Animal
tag,Animal Farm
tag,Animal Health
tag,Animal Husbandary
tag,Animal Husbandry
tag,Animal Husbandry Loan
tag,Animal Insurance
tag,Animal Welfare
tag,Animals Health Cover
tag,Anti Bird Net
tag,Antodayay
tag,Aquaculture
tag,Aquarium
tag,Area Expansion
tag,Area Expansion Farming
tag,Arecanut
tag,Aromatic Crops
tag,Artificial Insemination
tag,Assistance
tag,Assistance For Construction
tag,Auction
tag,Award
tag,Awards
tag,BPL
tag,BPL Families
tag,Backyard Poultry
tag,Backyards
tag,Balanced Ration
tag,Bamboo Marketing
tag,Bamboo Plantation
tag,Banana Development
tag,Bank
tag,Battery Operated Three-Wheelers
tag,Beekeeper
tag,Below Poverty Line
tag,Bima
tag,Bio Agent
tag,Bio Compost Sale
tag,Bio Fertilizers
tag,Bio Pesticide
tag,Bio-Floc
tag,Bio-agents
tag,Bio-pesticide
tag,Bio-pesticides
tag,Biofloc
tag,Biofloc Systems
tag,Biotechnology
tag,Bird
tag,Birds Unit
tag,Black Pepper
tag,Block Demonstration
tag,Boar
tag,Boat
tag,Boat Net
tag,Boat-net
tag,Borewell
tag,Brackish
tag,Branding
tag,Breed
tag,Breed Multiplication Farms
tag,Breeding
tag,Broiler Birds
tag,Broiler Birds Unit
tag,Brooder Cum Mother Unit
tag,Buffalo
tag,Buffaloes
tag,Business
tag,Cage
tag,Calamity
tag,Capital
tag,Capital Subsidy
tag,Cardamom
tag,Cash Assistance
tag,Cash Incentive
tag,Cash Prize
tag,Cashewnut
tag,Castor Cake
tag,Cattle
tag,Cattle And Buffalo Breeding
tag,Cattle Breed
tag,Cattle Breeders
tag,Cattle Breeding
